"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"56","Samarinda","23.37","94","1007","1.1","191","0","0","63","10000","broken clouds","Clouds","2024-10-27 18:09:08"
"57","Samarinda","23.31","95","1007","1.07","195","0","0","44","10000","scattered clouds","Clouds","2024-10-27 19:09:08"
"58","Samarinda","23.25","96","1007","0.95","184","0","0","29","10000","scattered clouds","Clouds","2024-10-27 20:09:08"
"59","Samarinda","23.21","97","1008","0.89","189","0","0","22","10000","few clouds","Clouds","2024-10-27 21:09:08"
"60","Samarinda","23.22","97","1009","0.95","195","0","0","22","10000","few clouds","Clouds","2024-10-27 22:09:08"
"61","Samarinda","25.18","89","1010","1.13","197","0.13","0","26","10000","light rain","rain","2024-10-27 23:09:08"
"62","Samarinda","27.74","78","1010","1.69","198","0","0","61","10000","broken clouds","Clouds","2024-10-28 00:09:08"
"63","Samarinda","29.79","67","1011","1.83","199","0.18","0","77","10000","light rain","rain","2024-10-28 01:09:08"
"64","Samarinda","31.37","57","1010","2.26","193","0","0","72","10000","broken clouds","Clouds","2024-10-28 02:09:08"
"65","Samarinda","32.81","51","1009","2.34","194","0","0","59","10000","broken clouds","Clouds","2024-10-28 03:09:08"
"66","Samarinda","33.77","48","1008","2.4","189","0","0","55","10000","broken clouds","Clouds","2024-10-28 04:09:08"
"67","Samarinda","33.88","47","1006","2.93","182","0","0","61","10000","broken clouds","Clouds","2024-10-28 05:09:08"
"68","Samarinda","34.41","45","1005","2.99","179","0","0","39","10000","scattered clouds","Clouds","2024-10-28 06:09:08"
"69","Samarinda","33.02","51","1005","2.95","174","0","0","80","10000","broken clouds","Clouds","2024-10-28 07:09:08"
"70","Samarinda","31.88","56","1005","2.95","171","0","0","69","10000","broken clouds","Clouds","2024-10-28 08:09:08"
"71","Samarinda","30.08","64","1006","2.87","170","0","0","54","10000","broken clouds","Clouds","2024-10-28 09:09:08"
"72","Samarinda","27.49","74","1007","2.39","168","0","0","46","10000","scattered clouds","Clouds","2024-10-28 10:09:09"
"73","Samarinda","25.87","83","1008","1.64","174","0","0","41","10000","scattered clouds","Clouds","2024-10-28 11:09:08"
"74","Samarinda","24.95","88","1009","0.81","156","0","0","36","10000","scattered clouds","Clouds","2024-10-28 12:09:08"
"75","Samarinda","24.49","90","1009","0.91","184","0","0","52","10000","broken clouds","Clouds","2024-10-28 13:09:08"
"76","Samarinda","24.28","92","1010","0.64","154","0","0","67","10000","broken clouds","Clouds","2024-10-28 14:09:08"
"77","Samarinda","24.07","94","1010","0.58","176","0.11","0","78","10000","light rain","rain","2024-10-28 15:09:08"
"78","Samarinda","23.68","96","1009","0.79","178","0.79","0","83","10000","light rain","rain","2024-10-28 16:09:08"
"79","Samarinda","23.61","98","1008","1.2","178","0.11","0","85","10000","light rain","rain","2024-10-28 17:09:08"
"80","Samarinda","23.78","97","1008","1.47","174","0","0","81","10000","broken clouds","Clouds","2024-10-28 18:09:08"
"81","Samarinda","23.66","98","1008","1.32","177","0","0","65","10000","broken clouds","Clouds","2024-10-28 19:09:08"
"82","Samarinda","23.49","99","1008","1.11","204","0.24","0","78","10000","light rain","rain","2024-10-28 20:09:08"
"83","Samarinda","23.11","99","1009","0.72","233","0.83","0","85","8942","light rain","rain","2024-10-28 21:09:08"
"84","Samarinda","23.11","99","1010","0.95","236","0.64","0","89","10000","light rain","rain","2024-10-28 22:09:08"
"85","Samarinda","24.31","96","1011","0.99","240","0","0","91","10000","overcast clouds","Clouds","2024-10-28 23:09:08"
"86","Samarinda","26.25","88","1011","1.43","223","0","0","81","10000","broken clouds","Clouds","2024-10-29 00:09:09"
"87","Samarinda","28.89","74","1011","1.67","221","0","0","100","10000","overcast clouds","Clouds","2024-10-29 01:09:08"
"88","Samarinda","32.15","56","1011","1.74","211","0","0","58","10000","broken clouds","Clouds","2024-10-29 02:09:09"
"89","Samarinda","33.33","52","1010","1.59","195","0.19","0","42","10000","light rain","rain","2024-10-29 03:09:08"
"90","Samarinda","33.91","52","1009","0.79","175","0.56","0","47","10000","light rain","rain","2024-10-29 04:09:09"
"91","Samarinda","33.11","55","1008","1.63","140","0.34","0","51","10000","light rain","rain","2024-10-29 05:09:09"
"92","Samarinda","30.54","66","1007","2.03","136","0.21","0","58","10000","light rain","rain","2024-10-29 06:09:08"
"93","Samarinda","28.84","73","1006","2.17","147","0.15","0","99","10000","light rain","rain","2024-10-29 07:09:08"
"94","Samarinda","29.65","68","1007","2.36","159","0.12","0","89","10000","light rain","rain","2024-10-29 08:09:09"
"95","Samarinda","28.77","71","1007","2.18","159","0","0","73","10000","broken clouds","Clouds","2024-10-29 09:09:08"
"96","Samarinda","27.01","79","1008","1.97","151","0","0","68","10000","broken clouds","Clouds","2024-10-29 10:09:08"
"97","Samarinda","25.96","86","1009","1.45","153","0","0","66","10000","broken clouds","Clouds","2024-10-29 11:09:08"
"98","Samarinda","25.54","89","1010","1.13","152","0","0","64","10000","broken clouds","Clouds","2024-10-29 12:09:09"
"99","Samarinda","24.73","93","1010","1.08","176","0","0","35","10000","scattered clouds","Clouds","2024-10-29 13:09:09"
